Timestamp,ValueX,ValueY,ValueZ
2024-01-04 20:57:10.698981,62,96,59
2024-01-04 20:57:11.701258,17,85,70
2024-01-04 20:57:12.703679,84,47,44
2024-01-04 20:57:13.705997,33,37,59
2024-01-04 20:57:14.707075,9,50,76
2024-01-04 20:57:15.708555,81,45,82
2024-01-04 20:57:16.709875,24,38,9
2024-01-04 20:57:17.711789,61,100,77
2024-01-04 20:57:18.713902,37,49,32
2024-01-04 20:57:19.715180,83,66,11
2024-01-04 20:57:20.717402,3,74,77
2024-01-04 20:57:21.719167,83,20,16
2024-01-04 20:57:22.721238,13,94,78
2024-01-04 20:57:23.722923,30,23,2
2024-01-04 20:57:24.724885,49,84,84
2024-01-04 20:57:25.726888,4,63,29
2024-01-04 20:57:26.729304,89,92,65
2024-01-04 20:57:27.731386,52,54,11
2024-01-04 20:57:28.733713,35,7,21
2024-01-04 20:57:29.735053,6,91,26
2024-01-04 20:57:30.736973,17,94,14
2024-01-04 20:57:31.738924,19,99,13
2024-01-04 20:57:32.741072,67,56,22
2024-01-04 20:57:33.743250,79,20,59
2024-01-04 20:57:34.745218,30,20,22
2024-01-04 20:57:35.747043,61,68,51
2024-01-04 20:57:36.748969,49,75,38
2024-01-04 20:57:37.750919,7,66,32
2024-01-04 20:57:38.752854,96,75,90
2024-01-04 20:57:39.755260,23,41,32
2024-01-04 20:57:40.756758,5,83,68
2024-01-04 20:57:41.758752,26,91,53
2024-01-04 20:57:42.760989,77,57,95
2024-01-04 20:57:43.762835,52,16,59
2024-01-04 20:57:44.764775,14,49,22
2024-01-04 20:57:45.766267,30,9,42
2024-01-04 20:57:46.768187,42,87,93
2024-01-04 20:57:47.770417,55,19,95
2024-01-04 20:57:48.772367,80,36,93
2024-01-04 20:57:49.773958,31,89,26
2024-01-04 20:57:50.775261,77,96,95
2024-01-04 20:57:51.777212,11,54,82
2024-01-04 20:57:52.779089,8,79,9
2024-01-04 20:57:53.781013,56,88,69
2024-01-04 20:57:54.782945,50,38,78
2024-01-04 20:57:55.785270,9,7,5
2024-01-04 20:57:56.845390,37,92,83
2024-01-04 20:57:57.847106,53,78,63
2024-01-04 20:57:58.849275,77,39,95
2024-01-04 20:57:59.851411,80,51,20
2024-01-04 21:13:14.485547,11,28,58
2024-01-12 16:23:07.678695,-15 88 -12
2024-01-12 16:23:08.678203,-13 90 -14
2024-01-12 16:23:09.696496,-14 90 -12
2024-01-12 16:23:10.696207,-14 92 -13
2024-01-12 16:23:11.691596,-13 88 -12
2024-01-12 16:23:12.694908,-13 88 -12
2024-01-12 16:23:13.660159,-12 89 -13
2024-01-12 16:23:14.689707,-14 89 -16
2024-01-12 16:23:15.733361,-14 90 -13
2024-01-12 16:23:16.677527,-14 90 -14
2024-01-12 16:23:20.467922,-15 93 -14
2024-01-12 16:23:21.504919,-13 91 -13
2024-01-12 17:46:24.888711,-29 -67 256
2024-01-12 17:46:25.679216,-30 -65 256
2024-01-12 17:46:26.816019,-28 -65 257
2024-01-12 17:46:27.812423,-28 -65 257
2024-01-12 17:46:30.009962,-27 -65 256
2024-01-12 17:46:30.018852,-27 -65 256
2024-01-12 17:46:30.817443,-31 -66 256
2024-01-12 17:46:33.009419,-30 -64 256
2024-01-12 17:46:33.015894,-30 -64 256
2024-01-12 17:46:33.817389,-30 -67 257
2024-01-12 17:46:36.007682,-28 -65 257
2024-01-12 17:46:36.011818,-28 -65 257
2024-01-12 17:46:36.816462,-28 -65 257
2024-01-12 17:46:39.011059,-29 -66 255
2024-01-12 17:46:39.015993,-29 -66 255
2024-01-12 17:46:39.816421,-30 -64 259
2024-01-12 17:46:42.022520,-29 -64 259
2024-01-12 17:46:42.029861,-29 -64 259
2024-01-12 17:46:42.817187,-30 -64 257
2024-01-12 17:46:45.038219,-31 -65 256
2024-01-12 17:46:45.043490,-31 -65 256
2024-01-12 17:46:45.817285,-31 -65 256
2024-01-12 17:46:48.035517,-30 -66 257
2024-01-12 17:46:48.041725,-30 -66 257
2024-01-12 17:46:48.813963,-30 -65 258
2024-01-12 17:46:51.075936,-29 -64 255
2024-01-12 17:46:51.087395,-29 -64 255
2024-01-12 17:46:51.812919,-29 -65 256
2024-01-12 17:46:54.048519,-28 -64 259
2024-01-12 17:46:54.057490,-28 -64 259
2024-01-12 17:46:54.816205,-28 -64 259
2024-01-12 17:46:56.055957,-29 -67 258
2024-01-12 17:46:56.833160,-30 -67 256
2024-01-12 17:46:59.063860,-32 -65 257
2024-01-12 17:46:59.069434,-32 -65 257
2024-01-12 17:46:59.813169,-32 -65 257
2024-01-12 17:47:02.078887,-29 -65 256
2024-01-12 17:47:02.084450,-29 -65 256
2024-01-12 17:47:02.817774,-30 -65 255
2024-01-12 17:47:04.111858,-29 -66 258
2024-01-12 17:47:04.820973,-29 -66 258
2024-01-12 17:47:05.825750,-28 -66 257
2024-01-12 17:47:06.839718,-29 -66 258
2024-01-12 17:47:07.811410,-29 -65 257
2024-01-12 17:47:08.831462,-29 -65 257
2024-01-12 17:47:09.811785,-29 -66 257
2024-01-12 17:47:10.837365,-29 -65 257
2024-01-12 17:47:11.830792,-29 -66 258
2024-01-12 17:47:12.830643,-29 -66 258
2024-01-12 17:47:13.834915,-29 -67 256
2024-01-12 17:47:14.814823,-31 -64 256
2024-01-12 17:47:15.836576,-31 -64 256
2024-01-12 17:47:16.827282,-31 -66 258
2024-01-12 17:47:17.831194,-29 -68 257
2024-01-12 17:47:18.835895,-31 -66 256
2024-01-12 17:47:19.838025,-30 -67 257
2024-01-12 17:47:20.826543,-30 -67 257
2024-01-12 17:47:21.813875,-31 -66 256
2024-01-12 17:47:22.833330,-31 -66 256
2024-01-12 17:47:23.820051,-30 -67 254
2024-01-12 17:47:24.813150,-30 -67 254
2024-01-12 17:47:25.850689,-29 -65 257
2024-01-12 17:47:26.823737,-29 -66 259
2024-01-12 17:47:27.831667,-28 -65 258
2024-01-12 17:47:28.810916,-30 -65 256
2024-01-12 17:47:29.821753,-29 -66 257
2024-01-12 17:47:30.848800,-27 -66 257
2024-01-12 17:47:31.831369,-27 -66 257
2024-01-12 17:47:32.842175,-30 -65 257
2024-01-12 17:47:33.832732,-28 -65 256
2024-01-12 17:47:34.850562,-28 -65 256
2024-01-12 17:47:35.815097,-29 -65 257
